tripID,timestamp,vehicleID,origLatitude,origLongitude,shapeID,routeID,plannedTripID,correctedLatitude,correctedLongitude,distance,angle
152277828,2020-02-27 08:20:31,2404,45.65666,-122.63599,11,6,1399,45.65666006448431,-122.6359463128294,3.3971219536653434,-1.0
152277828,2020-02-27 08:20:36,2404,45.657358,-122.635985,11,6,1399,45.657358,-122.63599199999999,0.5443199988803826,-1.0
152277828,2020-02-27 08:20:41,2404,45.658098,-122.635982,11,6,1399,45.65809801097472,-122.63599133651206,0.7260082036605929,-1.0
152277828,2020-02-27 08:20:46,2404,45.658853,-122.635987,11,6,1399,45.65885303237231,-122.63599339511002,0.4972967833418422,-1.0
152277828,2020-02-27 08:20:51,2404,45.659535,-122.63598,11,6,1399,45.65953407115454,-122.63599055280784,0.8270612228004139,-1.0
152277828,2020-02-27 08:20:56,2404,45.659907,-122.636023,11,6,1399,45.659901385449494,-122.63606666997113,3.4526944664712,-1.0
152277828,2020-02-27 08:21:11,2404,45.660332,-122.636197,11,6,1399,45.66033160242363,-122.63619954195164,0.20254603780884706,-1.0
152277828,2020-02-27 08:21:17,2404,45.66109,-122.636335,11,6,1399,45.66109004549421,-122.63633162531437,0.2624643129326751,-1.0
152277828,2020-02-27 08:21:23,2404,45.66202,-122.636362,11,6,1399,45.662020075810645,-122.63635641877251,0.4340781184126979,-1.0
152277828,2020-02-27 08:21:28,2404,45.662793,-122.636383,11,6,1399,45.662793066589096,-122.63637808164823,0.3825227102097931,-1.0
152277828,2020-02-27 08:21:33,2404,45.66354000000001,-122.636398,11,6,1399,45.66354001085534,-122.63639642599476,0.12240059981805562,-1.0
152277828,2020-02-27 08:21:38,2404,45.664227,-122.636413,11,6,1399,45.66422699626165,-122.63641372627643,0.056476785356101726,-1.0
152277828,2020-02-27 08:21:43,2404,45.664858,-122.636428,11,6,1399,45.66485807970829,-122.6364207934696,0.5604498987557948,-1.0
152277828,2020-02-27 08:21:48,2404,45.665472,-122.636445,11,6,1399,45.66547211411908,-122.63643468234316,0.8024013492408347,-1.0
152277828,2020-02-27 08:21:53,2404,45.666032,-122.636462,11,6,1399,45.66603216277375,-122.63644743979245,1.1323464159737144,-1.0
152277828,2020-02-27 08:21:58,2404,45.666337,-122.636468,11,6,1399,45.66633715190008,-122.6364544124482,1.056703040910956,-1.0
152277828,2020-02-27 08:22:18,2404,45.666587,-122.636468,11,6,1399,45.66658708802085,-122.63646012648312,0.6123229065124957,-1.0
152277828,2020-02-27 08:22:23,2404,45.666982,-122.636457,11,6,1399,45.6669818505195,-122.6364693987065,0.9642666949620736,-1.0
152277828,2020-02-27 08:22:28,2404,45.667285,-122.63643,11,6,1399,45.667284435062285,-122.63647685893255,3.6442920949272914,-1.0
152277828,2020-02-27 08:23:18,2404,45.667487,-122.636443,11,6,1399,45.667486528352654,-122.63648185806223,3.0220580600728386,-1.0
152277828,2020-02-27 08:23:23,2404,45.667965,-122.636457,11,6,1399,45.667964554261005,-122.63649372352717,2.8560516087961663,-1.0
