,tripID,timestamp,vehicleID,origLatitude,origLongitude,shapeID,routeID,plannedTripID,correctedLatitude,correctedLongitude,distance,angle
0,152000298,2020-02-24 21:40:41,2291,45.626703000000006,-122.670608,39,14,1991,45.62670289799584,-122.67057529146686,2.5434408286568786,359.8213191284938
1,152000298,2020-02-24 21:40:46,2291,45.626983,-122.670608,39,14,1991,45.62698289242704,-122.67057350578808,2.682296591865746,359.82131909680584
2,152000298,2020-02-24 21:40:51,2291,45.62706,-122.67060500000001,39,14,1991,45.627059900251176,-122.67057301466677,2.487204247503028,359.8213191004008
3,152000298,2020-02-24 21:40:56,2291,45.627295000000004,-122.670603,39,14,1991,45.627294643401356,-122.67057031241757,2.542095706209185,359.3749679395552
4,152000298,2020-02-24 21:41:01,2291,45.627603,-122.670598,39,14,1991,45.62760262299077,-122.67056344148183,2.6875973714321395,359.37496796903525
5,152000298,2020-02-24 21:41:06,2291,45.627928000000004,-122.67058700000001,39,14,1991,45.62792766388353,-122.67055618991337,2.3960838688018065,359.3749679597632
6,152000298,2020-02-24 21:41:11,2291,45.628257,-122.67055500000001,39,14,1991,45.62825582590228,-122.67052931204756,2.001757435862478,357.3830511146822
7,152000298,2020-02-24 21:41:16,2291,45.62851,-122.67053700000001,39,14,1991,45.62850856885716,-122.67050568818622,2.4400020276594008,357.38305110583497
8,152000298,2020-02-24 21:41:46,2291,45.628845,-122.67056699999999,39,14,1991,45.6288442849065,-122.67048060715656,6.718378111177503,359.52576044297047
9,152000298,2020-02-24 21:41:51,2291,45.629252,-122.67056799999999,39,14,1991,45.6292512196139,-122.67047371893885,7.331808889064738,359.5257604397857
10,152000298,2020-02-24 21:41:56,2291,45.629632,-122.67056200000002,39,14,1991,45.629631278296095,-122.67046741958448,7.3550109657965566,359.56280816613577
11,152000298,2020-02-24 21:42:01,2291,45.63,-122.670557,39,14,1991,45.629999272630904,-122.6704616771501,7.412746096058935,359.5628081756462
12,152000298,2020-02-24 21:42:06,2291,45.630272999999995,-122.670492,39,14,1991,45.63027273605685,-122.67045740984051,2.68989093565958,359.56280818472743
13,152000298,2020-02-24 21:42:11,2291,45.630475,-122.670448,39,14,1991,45.6304748134039,-122.67046184553604,1.0768288116628948,180.77212767922612
14,152000298,2020-02-24 21:46:57,2291,45.630928000000004,-122.67051299999999,39,14,1991,45.63054210000001,-122.67046370000001,43.082976377216255,277.2802890799697
15,152000298,2020-02-24 21:47:02,2291,45.631365,-122.67051699999999,39,14,1991,45.63054210000001,-122.67046370000001,91.600292889648,273.7059243705863
16,152000298,2020-02-24 21:47:07,2291,45.631696999999996,-122.670515,39,14,1991,45.63054262495208,-122.67044579330134,128.47926047141777,273.43087052597485
17,152000298,2020-02-24 21:47:12,2291,45.631847,-122.67036,39,14,1991,45.630542999999996,-122.67043300000002,145.1158655985563,266.79583529633817
18,152000298,2020-02-24 21:47:17,2291,45.631823,-122.669873,39,14,1991,45.630542999999996,-122.67043300000002,148.84809765478326,246.37062226855898
19,152000298,2020-02-24 21:47:22,2291,45.631809999999994,-122.66965,39,14,1991,45.630542999999996,-122.67043300000002,153.4836132945685,238.28413111238933
20,152000298,2020-02-24 21:47:37,2291,45.631807,-122.66956,39,14,1991,45.630542999999996,-122.67043300000002,156.09137276425017,235.36853725073712
21,152000298,2020-02-24 21:47:42,2291,45.631797,-122.668977,39,14,1991,45.630542999999996,-122.67043300000002,179.6198613069833,220.73712769004456
22,152000298,2020-02-24 21:47:47,2291,45.631793,-122.66811000000001,39,14,1991,45.630542999999996,-122.67043300000002,227.92660640357826,208.28457425800687
23,152000298,2020-02-24 21:47:52,2291,45.631893,-122.667147,39,14,1991,45.630542999999996,-122.67043300000002,296.35478355332384,202.33451740267896
24,152000298,2020-02-24 21:47:57,2291,45.63182800000001,-122.66643,39,14,1991,45.630542999999996,-122.67043300000002,342.50427516483495,197.79711031958098
25,152000298,2020-02-24 21:48:02,2291,45.631417,-122.66614299999999,39,14,1991,45.630542999999996,-122.67043300000002,347.4596635850178,191.51525601546936
26,152000298,2020-02-24 21:48:07,2291,45.630823,-122.666228,39,14,1991,45.630542999999996,-122.67043300000002,328.4598819718631,183.80955303025567
27,152000298,2020-02-24 21:48:12,2291,45.630097,-122.666312,39,14,1991,45.63012864905907,-122.67045965827221,322.541108474137,179.5628081684609
28,152000298,2020-02-24 21:48:17,2291,45.629242,-122.666642,39,14,1991,45.629273712870244,-122.67047333819364,297.9457282375831,179.52576044317948
29,152000298,2020-02-24 21:48:22,2291,45.62827,-122.667178,39,14,1991,45.62850999999999,-122.670441,255.1305720776596,175.79335882342886
30,152000298,2020-02-24 21:48:27,2291,45.627205,-122.667805,39,14,1991,45.62723518209421,-122.67057163898214,215.1600256554625,179.3749679563623
31,152000298,2020-02-24 21:48:31,2291,45.626123,-122.66849199999999,39,14,1991,45.626251,-122.67050199999998,156.94436955451548,176.35623380452077
32,152000298,2020-02-24 21:48:36,2291,45.625097,-122.669375,39,14,1991,45.625675,-122.670643,117.6987364115758,155.49479544869104
33,152000298,2020-02-24 21:48:41,2291,45.624167,-122.670422,39,14,1991,45.62417750515174,-122.67084092281272,32.59637684416498,178.5635188109278
34,152000298,2020-02-24 21:48:46,2291,45.623328,-122.671553,39,14,1991,45.62334507707642,-122.67158792292358,3.313700248765101,153.9416755659322
35,152000298,2020-02-24 21:48:51,2291,45.622515,-122.672627,39,14,1991,45.622473636551724,-122.67255822438713,7.053898004390317,328.9762009580547
